date,datetime,open,high,low,close,volume
2026-02-07 16:00:00+00:00,2026-02-07 16:00:00+00:00,69159.9,71553.0,68548.7,71181.5,7681.4845778
2026-02-08 16:00:00+00:00,2026-02-08 16:00:00+00:00,71181.5,72288.0,68309.4,69567.1,8188.71639095
2026-02-09 16:00:00+00:00,2026-02-09 16:00:00+00:00,69564.1,71125.5,67911.6,69288.1,7281.68319376
2026-02-10 16:00:00+00:00,2026-02-10 16:00:00+00:00,69288.2,69990.0,65759.1,66522.0,9146.72404873
2026-02-11 16:00:00+00:00,2026-02-11 16:00:00+00:00,66518.5,68421.6,65877.6,67131.0,7965.84081578
2026-02-12 16:00:00+00:00,2026-02-12 16:00:00+00:00,67133.0,69310.0,65120.1,68704.0,9654.1625847
2026-02-13 16:00:00+00:00,2026-02-13 16:00:00+00:00,68698.6,70576.8,68536.5,69793.3,6018.52294795
2026-02-14 16:00:00+00:00,2026-02-14 16:00:00+00:00,69793.3,70969.2,68776.6,69094.9,4311.68215049
2026-02-15 16:00:00+00:00,2026-02-15 16:00:00+00:00,69096.0,70118.0,67288.0,67538.9,5677.03909842
2026-02-16 16:00:00+00:00,2026-02-16 16:00:00+00:00,67541.8,69249.1,66622.8,67398.0,4551.0987676
2026-02-17 16:00:00+00:00,2026-02-17 16:00:00+00:00,67397.5,68470.9,66718.8,67695.9,4721.80378874
2026-02-18 16:00:00+00:00,2026-02-18 16:00:00+00:00,67696.0,67711.3,65641.2,66408.5,6064.4912645
2026-02-19 16:00:00+00:00,2026-02-19 16:00:00+00:00,66407.1,68333.3,65898.5,67579.2,6590.64234685
2026-02-20 16:00:00+00:00,2026-02-20 16:00:00+00:00,67579.3,68706.9,66963.1,68615.0,4331.70217061
2026-02-21 16:00:00+00:00,2026-02-21 16:00:00+00:00,68617.1,68666.8,67305.7,67691.3,3543.32302475
2026-02-22 16:00:00+00:00,2026-02-22 16:00:00+00:00,67691.3,67746.6,64280.0,65660.0,9821.49325333
2026-02-23 16:00:00+00:00,2026-02-23 16:00:00+00:00,65658.1,65728.7,62500.2,63972.4,10981.71599943
2026-02-24 16:00:00+00:00,2026-02-24 16:00:00+00:00,63972.4,67571.2,63700.0,67403.1,10261.7647852
2026-02-25 16:00:00+00:00,2026-02-25 16:00:00+00:00,67403.0,69999.9,66766.4,67379.8,12086.76643873
2026-02-26 16:00:00+00:00,2026-02-26 16:00:00+00:00,67379.8,68221.0,65667.6,66100.8,10598.27375974
2026-02-27 16:00:00+00:00,2026-02-27 16:00:00+00:00,66100.7,66125.7,63020.1,64837.1,10157.83551678
2026-02-28 16:00:00+00:00,2026-02-28 16:00:00+00:00,64837.0,68194.4,64677.9,66841.6,8983.43848995
2026-03-01 16:00:00+00:00,2026-03-01 16:00:00+00:00,66844.4,69603.8,65051.5,69117.1,10658.53017908
2026-03-02 16:00:00+00:00,2026-03-02 16:00:00+00:00,69117.2,70100.0,66149.5,67724.9,11030.36427174
2026-03-03 16:00:00+00:00,2026-03-03 16:00:00+00:00,67722.2,73476.0,67401.1,73391.9,16187.60377621
2026-03-04 16:00:00+00:00,2026-03-04 16:00:00+00:00,73392.0,74096.0,71156.2,71647.0,12214.44020167
2026-03-05 16:00:00+00:00,2026-03-05 16:00:00+00:00,71648.3,71650.9,68171.6,68492.1,11478.53077744
2026-03-06 16:00:00+00:00,2026-03-06 16:00:00+00:00,68492.2,68791.6,67433.6,67880.9,6058.92420587
2026-03-07 16:00:00+00:00,2026-03-07 16:00:00+00:00,67881.0,68195.4,66543.1,67209.0,4285.76066411
2026-03-08 16:00:00+00:00,2026-03-08 16:00:00+00:00,67208.1,69477.4,65616.3,68866.2,10991.66356517
2026-03-09 16:00:00+00:00,2026-03-09 16:00:00+00:00,68865.7,71782.3,68234.0,71344.1,9395.6365775
2026-03-10 16:00:00+00:00,2026-03-10 16:00:00+00:00,71344.0,71696.7,68977.4,70235.8,7014.88372881
